category,rating_mean,rating_number
comedy,4.619241213246939,325177
business,4.837827206230176,200829
society-culture,4.420780219012348,200354
education,4.807802203811555,146292
news,4.230611363145388,138870
sports,4.592635006699698,128364
health-fitness,4.813504327729189,110335
tv-film,4.559519801082649,77218
true-crime,4.219629356696417,73278
leisure,4.741661872519951,67791
