category,rating_mean,rating_number
arts,4.727781521962083,136508
christianity,4.819206514122792,82774
business-entrepreneurship,4.940937854940776,6163
society-culture-personal-journals,4.870494954348871,4162
business-marketing,4.93385982230997,4052
business-careers,4.922101449275362,3864
sports-wilderness,4.749474789915967,3808
leisure-video-games,4.6903799514955535,3711
health-fitness-fitness,4.822460530235329,3357
health-fitness-alternative-health,4.832368180432795,3281
